order_id,date,year,month_num,month_name,category,product,region,channel,quantity,unit_price,revenue,cost,profit
56,2023-01-09,2023,1,Jan 2023,Electronics,Smartphone,South,In-Store,3,620,1860,1057,803
57,2023-01-09,2023,1,Jan 2023,Home & Garden,Plant Pot,West,In-Store,1,59,59,36,23
58,2023-01-09,2023,1,Jan 2023,Clothing,Jeans,West,Online,2,64,128,52,76
59,2023-01-09,2023,1,Jan 2023,Home & Garden,Wall Clock,North,Online,1,53,53,31,22
60,2023-01-09,2023,1,Jan 2023,Clothing,Jacket,East,Online,5,63,315,170,145
61,2023-01-09,2023,1,Jan 2023,Clothing,Jeans,West,In-Store,3,84,252,135,117
62,2023-01-09,2023,1,Jan 2023,Home & Garden,Pillow Set,East,Mobile App,4,49,196,125,71
63,2023-01-10,2023,1,Jan 2023,Sports,Yoga Mat,West,Online,5,48,240,140,100
64,2023-01-10,2023,1,Jan 2023,Clothing,Dress,South,Online,4,80,320,196,124
65,2023-01-10,2023,1,Jan 2023,Clothing,Dress,Central,In-Store,5,61,305,148,157
66,2023-01-10,2023,1,Jan 2023,Home & Garden,Pillow Set,North,Online,1,39,39,21,18
67,2023-01-10,2023,1,Jan 2023,Clothing,Dress,South,Mobile App,1,61,61,33,28
68,2023-01-10,2023,1,Jan 2023,Clothing,Jeans,West,Online,3,81,243,116,127
69,2023-01-10,2023,1,Jan 2023,Home & Garden,Pillow Set,North,Mobile App,4,39,156,84,72
70,2023-01-11,2023,1,Jan 2023,Home & Garden,Wall Clock,Central,Mobile App,5,50,250,114,136
71,2023-01-11,2023,1,Jan 2023,Electronics,Smartphone,Central,Mobile App,2,672,1344,585,759
72,2023-01-11,2023,1,Jan 2023,Sports,Dumbbells,West,Online,2,34,68,33,35
73,2023-01-11,2023,1,Jan 2023,Sports,Dumbbells,North,Online,3,42,126,73,53
74,2023-01-11,2023,1,Jan 2023,Clothing,Sneakers,West,Mobile App,4,53,212,133,79
75,2023-01-11,2023,1,Jan 2023,Sports,Yoga Mat,Central,Mobile App,2,27,54,27,27
76,2023-01-11,2023,1,Jan 2023,Clothing,Dress,South,In-Store,3,80,240,134,106
77,2023-01-12,2023,1,Jan 2023,Electronics,Headphones,South,Online,3,389,1167,496,671
78,2023-01-12,2023,1,Jan 2023,Home & Garden,Plant Pot,East,Online,4,41,164,102,62
79,2023-01-12,2023,1,Jan 2023,Home & Garden,Pillow Set,Central,Mobile App,2,62,124,67,57
80,2023-01-12,2023,1,Jan 2023,Home & Garden,Rug,Central,Online,2,43,86,51,35
81,2023-01-12,2023,1,Jan 2023,Sports,Water Bottle,West,Online,2,51,102,61,41
82,2023-01-12,2023,1,Jan 2023,Electronics,Smartphone,East,Online,1,741,741,343,398
83,2023-01-12,2023,1,Jan 2023,Sports,Dumbbells,East,In-Store,2,32,64,34,30
84,2023-01-13,2023,1,Jan 2023,Sports,Water Bottle,North,Online,5,25,125,80,45
85,2023-01-13,2023,1,Jan 2023,Electronics,Laptop,West,In-Store,1,632,632,266,366
86,2023-01-13,2023,1,Jan 2023,Electronics,Laptop,South,Online,1,530,530,302,228
87,2023-01-13,2023,1,Jan 2023,Electronics,Headphones,North,Online,1,390,390,249,141
88,2023-01-13,2023,1,Jan 2023,Electronics,Tablet,East,In-Store,1,633,633,300,333
89,2023-01-13,2023,1,Jan 2023,Home & Garden,Plant Pot,South,Online,3,32,96,59,37
90,2023-01-13,2023,1,Jan 2023,Food & Beverage,Energy Drink,Central,Online,5,20,100,63,37
91,2023-01-14,2023,1,Jan 2023,Food & Beverage,Smoothie,West,In-Store,4,12,48,28,20
92,2023-01-14,2023,1,Jan 2023,Electronics,Smartphone,East,Online,2,400,800,366,434
93,2023-01-14,2023,1,Jan 2023,Food & Beverage,Protein Bar,Central,Online,1,12,12,5,7
94,2023-01-14,2023,1,Jan 2023,Food & Beverage,Protein Bar,East,Mobile App,4,22,88,35,53
95,2023-01-14,2023,1,Jan 2023,Electronics,Tablet,South,Mobile App,3,627,1881,1143,738
96,2023-01-14,2023,1,Jan 2023,Food & Beverage,Energy Drink,North,Online,4,20,80,48,32
97,2023-01-15,2023,1,Jan 2023,Sports,Running Shoes,South,Online,1,35,35,19,16
98,2023-01-15,2023,1,Jan 2023,Clothing,Jeans,West,Online,5,58,290,141,149
99,2023-01-15,2023,1,Jan 2023,Clothing,Jacket,West,Mobile App,4,53,212,88,124
100,2023-01-15,2023,1,Jan 2023,Electronics,Smartphone,East,In-Store,1,542,542,318,224
101,2023-01-15,2023,1,Jan 2023,Home & Garden,Pillow Set,South,Online,1,51,51,29,22
102,2023-01-15,2023,1,Jan 2023,Electronics,Headphones,North,Mobile App,2,602,1204,756,448
103,2023-01-15,2023,1,Jan 2023,Home & Garden,Rug,West,In-Store,2,40,80,46,34
104,2023-01-16,2023,1,Jan 2023,Clothing,Jacket,North,Online,5,87,435,264,171
105,2023-01-16,2023,1,Jan 2023,Electronics,Tablet,Central,Online,2,417,834,489,345
106,2023-01-16,2023,1,Jan 2023,Sports,Running Shoes,East,Online,5,51,255,142,113
107,2023-01-16,2023,1,Jan 2023,Food & Beverage,Protein Bar,North,Mobile App,3,10,30,15,15
108,2023-01-16,2023,1,Jan 2023,Home & Garden,Pillow Set,East,In-Store,3,48,144,90,54
109,2023-01-16,2023,1,Jan 2023,Food & Beverage,Coffee Beans,Central,Online,2,14,28,15,13
110,2023-01-16,2023,1,Jan 2023,Food & Beverage,Protein Bar,North,In-Store,3,15,45,22,23
111,2023-01-17,2023,1,Jan 2023,Electronics,Laptop,North,In-Store,4,578,2312,973,1339
112,2023-01-17,2023,1,Jan 2023,Food & Beverage,Protein Bar,Central,Online,4,15,60,28,32
113,2023-01-17,2023,1,Jan 2023,Sports,Water Bottle,South,Online,4,36,144,77,67
114,2023-01-17,2023,1,Jan 2023,Food & Beverage,Energy Drink,North,In-Store,3,19,57,26,31
115,2023-01-17,2023,1,Jan 2023,Electronics,Tablet,North,Online,4,624,2496,1136,1360
116,2023-01-17,2023,1,Jan 2023,Sports,Yoga Mat,West,Online,5,47,235,124,111
117,2023-01-17,2023,1,Jan 2023,Clothing,Dress,South,Online,1,53,53,23,30
118,2023-01-18,2023,1,Jan 2023,Food & Beverage,Protein Bar,North,Online,2,17,34,20,14
119,2023-01-18,2023,1,Jan 2023,Electronics,Tablet,Central,In-Store,5,584,2920,1521,1399
120,2023-01-18,2023,1,Jan 2023,Clothing,Jeans,East,Online,4,59,236,128,108
121,2023-01-18,2023,1,Jan 2023,Clothing,T-Shirt,Central,In-Store,1,65,65,28,37
122,2023-01-18,2023,1,Jan 2023,Home & Garden,Rug,South,Online,2,42,84,40,44
123,2023-01-18,2023,1,Jan 2023,Sports,Yoga Mat,West,In-Store,5,28,140,70,70
124,2023-01-18,2023,1,Jan 2023,Food & Beverage,Protein Bar,West,Online,2,13,26,15,11
125,2023-01-19,2023,1,Jan 2023,Electronics,Monitor,West,In-Store,3,392,1176,696,480
126,2023-01-19,2023,1,Jan 2023,Home & Garden,Rug,Central,In-Store,4,56,224,102,122
127,2023-01-19,2023,1,Jan 2023,Sports,Yoga Mat,East,In-Store,5,43,215,119,96
128,2023-01-19,2023,1,Jan 2023,Home & Garden,Wall Clock,East,In-Store,5,65,325,149,176
129,2023-01-19,2023,1,Jan 2023,Sports,Dumbbells,North,Online,1,44,44,28,16
130,2023-01-19,2023,1,Jan 2023,Sports,Running Shoes,East,Mobile App,1,25,25,15,10
131,2023-01-19,2023,1,Jan 2023,Food & Beverage,Green Tea,East,Mobile App,1,21,21,11,10
132,2023-01-20,2023,1,Jan 2023,Sports,Yoga Mat,North,In-Store,2,48,96,55,41
133,2023-01-20,2023,1,Jan 2023,Home & Garden,LED Lamp,Central,Mobile App,4,47,188,112,76
134,2023-01-20,2023,1,Jan 2023,Sports,Dumbbells,Central,Online,2,40,80,46,34
135,2023-01-20,2023,1,Jan 2023,Food & Beverage,Coffee Beans,South,Online,4,22,88,50,38
136,2023-01-20,2023,1,Jan 2023,Food & Beverage,Protein Bar,Central,In-Store,5,16,80,51,29
137,2023-01-20,2023,1,Jan 2023,Home & Garden,Wall Clock,West,Mobile App,2,64,128,70,58
138,2023-01-21,2023,1,Jan 2023,Clothing,T-Shirt,West,Online,2,45,90,50,40
139,2023-01-21,2023,1,Jan 2023,Clothing,Sneakers,South,In-Store,2,51,102,62,40
140,2023-01-21,2023,1,Jan 2023,Sports,Dumbbells,East,Mobile App,3,36,108,61,47
141,2023-01-21,2023,1,Jan 2023,Electronics,Laptop,South,Mobile App,4,583,2332,1360,972
142,2023-01-21,2023,1,Jan 2023,Sports,Dumbbells,North,Online,4,47,188,86,102
143,2023-01-21,2023,1,Jan 2023,Home & Garden,Plant Pot,South,Online,2,67,134,66,68
144,2023-01-21,2023,1,Jan 2023,Home & Garden,LED Lamp,South,Online,3,45,135,58,77
145,2023-01-22,2023,1,Jan 2023,Home & Garden,Wall Clock,West,In-Store,2,33,66,34,32
146,2023-01-22,2023,1,Jan 2023,Home & Garden,Wall Clock,North,Mobile App,4,60,240,123,117
147,2023-01-22,2023,1,Jan 2023,Home & Garden,LED Lamp,North,In-Store,5,53,265,172,93
148,2023-01-22,2023,1,Jan 2023,Food & Beverage,Coffee Beans,South,Mobile App,3,12,36,19,17
149,2023-01-22,2023,1,Jan 2023,Clothing,Jacket,North,In-Store,3,65,195,116,79
150,2023-01-22,2023,1,Jan 2023,Home & Garden,Wall Clock,North,In-Store,2,58,116,56,60
151,2023-01-22,2023,1,Jan 2023,Electronics,Tablet,Central,Online,5,658,3290,1999,1291
152,2023-01-23,2023,1,Jan 2023,Electronics,Headphones,North,Online,4,549,2196,1216,980
153,2023-01-23,2023,1,Jan 2023,Electronics,Smartphone,East,Online,1,472,472,271,201
154,2023-01-23,2023,1,Jan 2023,Electronics,Laptop,North,Online,4,739,2956,1399,1557
155,2023-01-23,2023,1,Jan 2023,Food & Beverage,Protein Bar,West,Online,4,18,72,38,34
156,2023-01-23,2023,1,Jan 2023,Electronics,Monitor,Central,Online,5,513,2565,1432,1133
157,2023-01-23,2023,1,Jan 2023,Home & Garden,Wall Clock,West,Online,3,41,123,67,56
158,2023-01-23,2023,1,Jan 2023,Sports,Jump Rope,West,In-Store,4,44,176,110,66
159,2023-01-24,2023,1,Jan 2023,Electronics,Tablet,East,Online,3,446,1338,835,503
160,2023-01-24,2023,1,Jan 2023,Food & Beverage,Energy Drink,Central,In-Store,5,12,60,38,22
161,2023-01-24,2023,1,Jan 2023,Food & Beverage,Smoothie,South,In-Store,5,16,80,45,35
162,2023-01-24,2023,1,Jan 2023,Electronics,Monitor,North,In-Store,2,465,930,597,333
163,2023-01-24,2023,1,Jan 2023,Sports,Dumbbells,East,In-Store,1,42,42,25,17
164,2023-01-24,2023,1,Jan 2023,Electronics,Monitor,East,In-Store,5,397,1985,928,1057
165,2023-01-24,2023,1,Jan 2023,Food & Beverage,Protein Bar,South,Mobile App,5,18,90,45,45
166,2023-01-25,2023,1,Jan 2023,Clothing,Jeans,East,Online,3,55,165,75,90
167,2023-01-25,2023,1,Jan 2023,Home & Garden,LED Lamp,South,Online,5,31,155,62,93
168,2023-01-25,2023,1,Jan 2023,Food & Beverage,Energy Drink,South,Online,4,12,48,21,27
169,2023-01-25,2023,1,Jan 2023,Electronics,Tablet,South,In-Store,2,723,1446,579,867
170,2023-01-25,2023,1,Jan 2023,Home & Garden,Rug,East,Online,2,62,124,71,53
171,2023-01-25,2023,1,Jan 2023,Electronics,Tablet,South,Online,4,443,1772,897,875
172,2023-01-25,2023,1,Jan 2023,Electronics,Monitor,East,Online,5,661,3305,1580,1725
173,2023-01-26,2023,1,Jan 2023,Clothing,Sneakers,Central,In-Store,1,71,71,41,30
174,2023-01-26,2023,1,Jan 2023,Home & Garden,Plant Pot,South,In-Store,5,66,330,200,130
175,2023-01-26,2023,1,Jan 2023,Home & Garden,Plant Pot,East,Online,2,44,88,56,32
176,2023-01-26,2023,1,Jan 2023,Clothing,Dress,East,Online,1,74,74,41,33
177,2023-01-26,2023,1,Jan 2023,Food & Beverage,Energy Drink,East,Mobile App,3,11,33,17,16
178,2023-01-26,2023,1,Jan 2023,Electronics,Tablet,North,In-Store,3,508,1524,725,799
179,2023-01-26,2023,1,Jan 2023,Sports,Dumbbells,North,Online,5,51,255,116,139
180,2023-01-27,2023,1,Jan 2023,Electronics,Headphones,South,Mobile App,5,565,2825,1280,1545
181,2023-01-27,2023,1,Jan 2023,Electronics,Monitor,Central,Online,1,465,465,233,232
182,2023-01-27,2023,1,Jan 2023,Food & Beverage,Green Tea,South,Online,1,11,11,7,4
183,2023-01-27,2023,1,Jan 2023,Electronics,Headphones,West,Online,5,631,3155,1262,1893
184,2023-01-27,2023,1,Jan 2023,Clothing,Dress,West,Mobile App,2,72,144,64,80
185,2023-01-27,2023,1,Jan 2023,Clothing,Sneakers,Central,Online,3,59,177,79,98
186,2023-01-28,2023,1,Jan 2023,Home & Garden,Rug,Central,Online,1,65,65,37,28
187,2023-01-28,2023,1,Jan 2023,Sports,Running Shoes,Central,Mobile App,2,25,50,24,26
188,2023-01-28,2023,1,Jan 2023,Electronics,Tablet,North,In-Store,5,471,2355,1211,1144
189,2023-01-28,2023,1,Jan 2023,Electronics,Laptop,North,In-Store,4,718,2872,1255,1617
190,2023-01-28,2023,1,Jan 2023,Food & Beverage,Smoothie,West,Online,1,14,14,7,7
191,2023-01-28,2023,1,Jan 2023,Clothing,Dress,Central,Online,4,54,216,91,125
192,2023-01-28,2023,1,Jan 2023,Sports,Water Bottle,East,Mobile App,2,39,78,41,37
193,2023-01-29,2023,1,Jan 2023,Home & Garden,Plant Pot,West,In-Store,3,61,183,77,106
194,2023-01-29,2023,1,Jan 2023,Clothing,T-Shirt,Central,Mobile App,2,46,92,54,38
195,2023-01-29,2023,1,Jan 2023,Home & Garden,Wall Clock,East,Mobile App,3,65,195,105,90
196,2023-01-29,2023,1,Jan 2023,Food & Beverage,Protein Bar,Central,In-Store,2,20,40,23,17
197,2023-01-29,2023,1,Jan 2023,Food & Beverage,Smoothie,South,Online,1,12,12,6,6
198,2023-01-29,2023,1,Jan 2023,Electronics,Monitor,East,Online,1,634,634,314,320
199,2023-01-29,2023,1,Jan 2023,Sports,Running Shoes,South,Online,4,35,140,59,81
200,2023-01-30,2023,1,Jan 2023,Home & Garden,Wall Clock,North,Online,2,45,90,47,43
201,2023-01-30,2023,1,Jan 2023,Clothing,Jacket,West,Mobile App,2,79,158,83,75
202,2023-01-30,2023,1,Jan 2023,Food & Beverage,Green Tea,Central,Online,4,22,88,45,43
203,2023-01-30,2023,1,Jan 2023,Electronics,Laptop,West,Mobile App,5,400,2000,1170,830
204,2023-01-30,2023,1,Jan 2023,Electronics,Monitor,Central,Mobile App,2,518,1036,630,406
205,2023-01-30,2023,1,Jan 2023,Home & Garden,Pillow Set,South,Mobile App,2,48,96,56,40
206,2023-01-30,2023,1,Jan 2023,Food & Beverage,Coffee Beans,East,Mobile App,2,15,30,13,17
207,2023-01-31,2023,1,Jan 2023,Sports,Water Bottle,East,In-Store,5,34,170,94,76
208,2023-01-31,2023,1,Jan 2023,Food & Beverage,Green Tea,Central,Mobile App,1,11,11,4,7
209,2023-01-31,2023,1,Jan 2023,Home & Garden,Rug,South,In-Store,4,56,224,128,96
210,2023-01-31,2023,1,Jan 2023,Home & Garden,Pillow Set,Central,In-Store,5,47,235,116,119
211,2023-01-31,2023,1,Jan 2023,Food & Beverage,Energy Drink,Central,In-Store,3,12,36,15,21
212,2023-01-31,2023,1,Jan 2023,Home & Garden,Pillow Set,Central,In-Store,3,60,180,110,70
213,2023-01-31,2023,1,Jan 2023,Food & Beverage,Smoothie,East,Online,5,20,100,55,45
214,2023-02-01,2023,2,Feb 2023,Clothing,T-Shirt,Central,Online,5,65,325,158,167
215,2023-02-01,2023,2,Feb 2023,Food & Beverage,Smoothie,East,Online,1,14,14,5,9
216,2023-02-01,2023,2,Feb 2023,Food & Beverage,Coffee Beans,North,Online,3,18,54,28,26
217,2023-02-01,2023,2,Feb 2023,Home & Garden,LED Lamp,South,Online,4,41,164,103,61
218,2023-02-01,2023,2,Feb 2023,Home & Garden,Rug,North,Mobile App,2,39,78,42,36
219,2023-02-01,2023,2,Feb 2023,Electronics,Monitor,Central,In-Store,2,642,1284,825,459
220,2023-02-01,2023,2,Feb 2023,Electronics,Tablet,East,Online,1,366,366,158,208
221,2023-02-02,2023,2,Feb 2023,Clothing,Jacket,South,Mobile App,1,46,46,24,22
222,2023-02-02,2023,2,Feb 2023,Electronics,Laptop,West,Mobile App,3,352,1056,633,423
223,2023-02-02,2023,2,Feb 2023,Food & Beverage,Coffee Beans,South,Mobile App,4,12,48,25,23
224,2023-02-02,2023,2,Feb 2023,Home & Garden,Wall Clock,South,In-Store,4,33,132,55,77
225,2023-02-02,2023,2,Feb 2023,Electronics,Tablet,Central,Online,5,748,3740,2040,1700
226,2023-02-02,2023,2,Feb 2023,Electronics,Headphones,North,Online,1,465,465,257,208
227,2023-02-03,2023,2,Feb 2023,Clothing,Jacket,North,In-Store,2,49,98,57,41
228,2023-02-03,2023,2,Feb 2023,Clothing,Dress,West,Online,2,53,106,62,44
229,2023-02-03,2023,2,Feb 2023,Food & Beverage,Protein Bar,Central,Online,3,21,63,37,26
230,2023-02-03,2023,2,Feb 2023,Home & Garden,Pillow Set,South,Mobile App,2,50,100,56,44
231,2023-02-03,2023,2,Feb 2023,Clothing,Sneakers,North,In-Store,4,59,236,107,129
232,2023-02-03,2023,2,Feb 2023,Electronics,Headphones,North,Online,4,699,2796,1400,1396
233,2023-02-03,2023,2,Feb 2023,Home & Garden,Plant Pot,East,Online,1,45,45,26,19
234,2023-02-04,2023,2,Feb 2023,Home & Garden,LED Lamp,South,Online,3,43,129,82,47
235,2023-02-04,2023,2,Feb 2023,Electronics,Monitor,Central,Online,2,432,864,362,502
236,2023-02-04,2023,2,Feb 2023,Clothing,T-Shirt,North,In-Store,1,60,60,32,28
237,2023-02-04,2023,2,Feb 2023,Electronics,Laptop,Central,Online,5,476,2380,1137,1243
238,2023-02-04,2023,2,Feb 2023,Home & Garden,LED Lamp,South,Mobile App,5,55,275,125,150
239,2023-02-04,2023,2,Feb 2023,Sports,Jump Rope,South,Mobile App,2,32,64,33,31
240,2023-02-04,2023,2,Feb 2023,Sports,Water Bottle,North,In-Store,2,40,80,44,36
241,2023-02-05,2023,2,Feb 2023,Food & Beverage,Smoothie,West,In-Store,2,11,22,8,14
242,2023-02-05,2023,2,Feb 2023,Electronics,Headphones,Central,Online,4,426,1704,1013,691
243,2023-02-05,2023,2,Feb 2023,Electronics,Laptop,Central,In-Store,2,512,1024,619,405
244,2023-02-05,2023,2,Feb 2023,Food & Beverage,Green Tea,East,In-Store,5,21,105,67,38
245,2023-02-05,2023,2,Feb 2023,Food & Beverage,Energy Drink,South,In-Store,2,15,30,13,17
246,2023-02-05,2023,2,Feb 2023,Food & Beverage,Green Tea,South,Online,3,18,54,29,25
247,2023-02-05,2023,2,Feb 2023,Home & Garden,Rug,North,Online,5,40,200,101,99
248,2023-02-06,2023,2,Feb 2023,Electronics,Headphones,North,Online,3,400,1200,580,620
249,2023-02-06,2023,2,Feb 2023,Home & Garden,Wall Clock,North,In-Store,5,33,165,89,76
250,2023-02-06,2023,2,Feb 2023,Food & Beverage,Energy Drink,East,In-Store,1,14,14,8,6
251,2023-02-06,2023,2,Feb 2023,Electronics,Tablet,West,In-Store,5,413,2065,837,1228
252,2023-02-06,2023,2,Feb 2023,Home & Garden,Rug,North,In-Store,5,37,185,118,67
253,2023-02-06,2023,2,Feb 2023,Home & Garden,Wall Clock,North,Online,3,58,174,104,70
254,2023-02-06,2023,2,Feb 2023,Food & Beverage,Coffee Beans,North,Mobile App,3,10,30,17,13
255,2023-02-07,2023,2,Feb 2023,Electronics,Tablet,East,In-Store,5,573,2865,1690,1175
256,2023-02-07,2023,2,Feb 2023,Food & Beverage,Green Tea,Central,Online,5,15,75,37,38
257,2023-02-07,2023,2,Feb 2023,Electronics,Headphones,West,In-Store,4,552,2208,1298,910
258,2023-02-07,2023,2,Feb 2023,Sports,Running Shoes,Central,In-Store,1,40,40,19,21
259,2023-02-07,2023,2,Feb 2023,Clothing,Dress,South,Online,1,57,57,35,22
260,2023-02-07,2023,2,Feb 2023,Clothing,Jacket,South,In-Store,2,56,112,49,63
261,2023-02-07,2023,2,Feb 2023,Clothing,Dress,North,Mobile App,5,77,385,182,203
262,2023-02-08,2023,2,Feb 2023,Food & Beverage,Smoothie,Central,Online,5,20,100,53,47
263,2023-02-08,2023,2,Feb 2023,Sports,Water Bottle,East,Online,5,29,145,69,76
264,2023-02-08,2023,2,Feb 2023,Electronics,Laptop,West,Online,5,389,1945,984,961
265,2023-02-08,2023,2,Feb 2023,Home & Garden,Wall Clock,Central,Mobile App,1,63,63,32,31
266,2023-02-08,2023,2,Feb 2023,Electronics,Tablet,Central,Online,3,489,1467,900,567
267,2023-02-08,2023,2,Feb 2023,Home & Garden,Rug,West,Online,4,51,204,108,96
268,2023-02-08,2023,2,Feb 2023,Electronics,Monitor,Central,Online,3,493,1479,725,754
269,2023-02-09,2023,2,Feb 2023,Sports,Running Shoes,Central,Online,3,28,84,38,46
270,2023-02-09,2023,2,Feb 2023,Home & Garden,Pillow Set,West,Online,1,52,52,26,26
271,2023-02-09,2023,2,Feb 2023,Food & Beverage,Energy Drink,East,Online,4,16,64,33,31
272,2023-02-09,2023,2,Feb 2023,Electronics,Smartphone,West,Online,5,431,2155,1263,892
273,2023-02-09,2023,2,Feb 2023,Electronics,Smartphone,North,Online,1,530,530,228,302
274,2023-02-09,2023,2,Feb 2023,Home & Garden,Pillow Set,North,Mobile App,1,60,60,27,33
275,2023-02-10,2023,2,Feb 2023,Food & Beverage,Protein Bar,North,Mobile App,4,17,68,33,35
276,2023-02-10,2023,2,Feb 2023,Food & Beverage,Green Tea,North,Online,2,11,22,10,12
277,2023-02-10,2023,2,Feb 2023,Sports,Jump Rope,South,In-Store,1,39,39,19,20
278,2023-02-10,2023,2,Feb 2023,Food & Beverage,Energy Drink,East,In-Store,3,18,54,32,22
279,2023-02-10,2023,2,Feb 2023,Food & Beverage,Coffee Beans,South,Online,3,20,60,28,32
